Trial03
Date:,2017/07/11
Time:,16:59:08
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
646,-373.245850,303.027893,962.595093,-366.883667,201.649994,960.018250,-303.231018,256.103882,987.364807
647,-373.428223,303.027344,962.310974,-367.053497,201.643539,959.740601,-303.533844,256.084320,987.391541
648,-373.608826,303.025238,962.030334,-367.221771,201.639297,959.464172,-303.834534,256.065369,987.416382
649,-373.787659,303.021484,961.753906,-367.388489,201.636826,959.189941,-304.132599,256.046997,987.439453
650,-373.964691,303.016083,961.482483,-367.553436,201.635742,958.918579,-304.427582,256.029053,987.460876
651,-374.139740,303.009155,961.216553,-367.716339,201.635788,958.650757,-304.718964,256.011383,987.480652
652,-374.312622,303.000916,960.956177,-367.876923,201.636688,958.386780,-305.006378,255.993790,987.498901
653,-374.483063,302.991760,960.701416,-368.034943,201.638138,958.126892,-305.289581,255.976044,987.515625
654,-374.650757,302.982086,960.451782,-368.190338,201.639862,957.871338,-305.568390,255.958038,987.530945
655,-374.815552,302.972260,960.207031,-368.343170,201.641464,957.620178,-305.842804,255.939697,987.544922
656,-374.977356,302.962616,959.966736,-368.493561,201.642502,957.373474,-306.112915,255.921082,987.557617
657,-375.136322,302.953217,959.730530,-368.641602,201.642654,957.131226,-306.378815,255.902252,987.569214
658,-375.292603,302.944061,959.497986,-368.787323,201.641861,956.893188,-306.640839,255.883331,987.579773
659,-375.446503,302.935089,959.268799,-368.930634,201.640274,956.658813,-306.899323,255.864441,987.589478
660,-375.598297,302.926208,959.042664,-369.071625,201.638123,956.427551,-307.154755,255.845718,987.598389
661,-375.748230,302.917450,958.819092,-369.210388,201.635666,956.198669,-307.407654,255.827301,987.606689
662,-375.896393,302.908813,958.597717,-369.347168,201.633194,955.971680,-307.658478,255.809311,987.614441
663,-376.042877,302.900330,958.378052,-369.482147,201.630920,955.746033,-307.907654,255.791870,987.621704
664,-376.187805,302.891876,958.159729,-369.615570,201.629044,955.521362,-308.155487,255.775024,987.628540
665,-376.331238,302.883270,957.942505,-369.747620,201.627701,955.297424,-308.402130,255.758759,987.634949
666,-376.473358,302.874268,957.726318,-369.878387,201.627014,955.074036,-308.647675,255.742996,987.640808
667,-376.614197,302.864563,957.511108,-370.007904,201.627090,954.850891,-308.892090,255.727554,987.646057
668,-376.753845,302.854065,957.296814,-370.136047,201.628006,954.627869,-309.135254,255.712280,987.650574
669,-376.892303,302.842682,957.083374,-370.262726,201.629654,954.404907,-309.377075,255.696991,987.654297
670,-377.029572,302.830566,956.870728,-370.387909,201.631790,954.182190,-309.617462,255.681503,987.657166
671,-377.165680,302.817902,956.658752,-370.511597,201.634033,953.960022,-309.856384,255.665680,987.659058
672,-377.300568,302.804932,956.447449,-370.633911,201.636078,953.738647,-310.093842,255.649429,987.660034
673,-377.434235,302.791840,956.236816,-370.754913,201.637650,953.518188,-310.330017,255.632736,987.660278
674,-377.566711,302.778809,956.026733,-370.874664,201.638580,953.298645,-310.565155,255.615616,987.659912
675,-377.698151,302.765808,955.817078,-370.993256,201.638809,953.080017,-310.799622,255.598099,987.659180
