global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/17 01:28:51:395,732,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:400,737,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:405,742,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:410,747,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:416,753,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:421,758,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:426,763,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:431,768,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:437,774,0.9367676,-0.1315918,-0.2421875,-0.06704618,0.019156052,0.018091828,-0.13134766,-0.7993164,-0.0034179688,0.5859375
17/07/17 01:28:51:442,779,0.9338379,-0.19042969,0.03466797,0.17240447,0.048954353,0.009578026,-0.1303711,-0.7919922,-0.0014648438,0.5961914
17/07/17 01:28:51:447,784,0.9338379,-0.19042969,0.03466797,0.17240447,0.048954353,0.009578026,-0.1303711,-0.7919922,-0.0014648438,0.5961914
17/07/17 01:28:51:452,789,0.9172363,-0.21533203,0.08203125,0.19794586,0.06811041,-0.015963376,-0.12988281,-0.79052734,-4.8828125E-4,0.5986328
17/07/17 01:28:51:457,794,0.9172363,-0.21533203,0.08203125,0.19794586,0.06811041,-0.015963376,-0.12988281,-0.79052734,-4.8828125E-4,0.5986328
17/07/17 01:28:51:463,800,0.9321289,-0.28076172,0.1274414,0.21390924,0.06811041,-0.07236731,-0.12939453,-0.7885742,4.8828125E-4,0.60058594
17/07/17 01:28:51:469,806,0.9321289,-0.28076172,0.1274414,0.21390924,0.06811041,-0.07236731,-0.12939453,-0.7885742,4.8828125E-4,0.60058594
17/07/17 01:28:51:474,811,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:479,816,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:484,821,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:490,827,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:496,833,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:502,839,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:507,844,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
17/07/17 01:28:51:512,849,0.9501953,-0.30810547,0.14208984,0.27457008,0.048954353,-0.11493631,-0.12890625,-0.78759766,0.0024414063,0.60253906
