Trial01
Date:,2017/07/11
Time:,16:52:01
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C,,,*1,,,*2
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1049,-341.468018,307.561005,982.244446,-342.748535,206.322220,980.199341,-270.273102,256.251587,978.890686,,,,,,
1050,-341.498718,307.566956,982.225464,-342.776825,206.325714,980.177917,-270.304626,256.246735,978.907776,,,,,,
1051,-341.530823,307.572784,982.205872,-342.806244,206.329193,980.156067,-270.336884,256.242096,978.925049,,,,,,
1052,-341.564148,307.578400,982.185608,-342.836670,206.332687,980.133972,-270.369843,256.237732,978.942505,,,,,,
1053,-341.598602,307.583710,982.164917,-342.868011,206.336151,980.111633,-270.403381,256.233673,978.960266,,,,,,
1054,-341.634125,307.588593,982.143738,-342.900146,206.339600,980.089294,-270.437531,256.229889,978.978210,,,,,,
1055,-341.670532,307.592957,982.122253,-342.933014,206.342972,980.066956,-270.472168,256.226349,978.996521,,,,,,
1056,-341.707733,307.596710,982.100525,-342.966461,206.346222,980.044739,-270.507324,256.223114,979.015015,,,,,,
1057,-341.745636,307.599701,982.078735,-343.000458,206.349228,980.022705,-270.542908,256.220123,979.033813,,,,,,
1058,-341.784058,307.601868,982.056824,-343.034943,206.351883,980.000916,-270.578827,256.217407,979.052795,,,,,,
1059,-341.822876,307.603119,982.034973,-343.069916,206.354126,979.979370,-270.615051,256.214935,979.071838,,,,,,
1060,-341.862000,307.603516,982.013184,-343.105286,206.355927,979.957947,-270.651428,256.212708,979.090942,,,,,,
1061,-341.901215,307.603027,981.991516,-343.141113,206.357254,979.936707,-270.687927,256.210724,979.109985,,,,,,
1062,-341.940460,307.601776,981.969971,-343.177277,206.358109,979.915588,-270.724365,256.208984,979.128906,,,,,,
1063,-341.979675,307.599854,981.948547,-343.213745,206.358459,979.894470,-270.760620,256.207489,979.147644,,,,,,
1064,-342.018799,307.597321,981.927185,-343.250458,206.358368,979.873352,-270.796661,256.206238,979.166199,,,,,,
1065,-342.057861,307.594269,981.905884,-343.287323,206.357910,979.852234,-270.832306,256.205170,979.184509,,,,,,
1066,-342.096924,307.590790,981.884521,-343.324310,206.357193,979.830933,-270.867584,256.204315,979.202576,,,,,,
1067,-342.136047,307.586975,981.862976,-343.361389,206.356293,979.809570,-270.902405,256.203613,979.220398,,,,,,
1068,-342.175262,307.582916,981.841309,-343.398529,206.355255,979.788086,-270.936798,256.203094,979.237854,,,,,,
1069,-342.214661,307.578735,981.819336,-343.435669,206.354126,979.766418,-270.970734,256.202789,979.255066,,,,,,
1070,-342.254150,307.574524,981.797119,-343.472839,206.352921,979.744629,-271.004242,256.202698,979.272095,,,,,,
1071,-342.293762,307.570374,981.774658,-343.509979,206.351578,979.722656,-271.037323,256.202820,979.288818,,,,,,
1072,-342.333313,307.566376,981.752075,-343.547119,206.350098,979.700562,-271.070038,256.203217,979.305420,,,,,,
1073,-342.372772,307.562592,981.729370,-343.584198,206.348450,979.678284,-271.102386,256.203949,979.321777,,,,,,
1074,-342.412018,307.559052,981.706604,-343.621185,206.346649,979.655945,-271.134491,256.204987,979.338013,,,,,,
1075,-342.451080,307.555756,981.683899,-343.658112,206.344742,979.633484,-271.166412,256.206451,979.354126,,,,,,
1076,-342.489868,307.552765,981.661255,-343.695007,206.342789,979.610962,-271.198242,256.208252,979.370178,,,,,,
1077,-342.528412,307.550079,981.638733,-343.731842,206.340866,979.588318,-271.230103,256.210388,979.386169,,,,,,
1078,-342.566803,307.547760,981.616272,-343.768646,206.339066,979.565491,-271.262054,256.212891,979.402283,,,,,,
1079,-342.605042,307.545807,981.593872,-343.805450,206.337433,979.542480,-271.294250,256.215698,979.418579,,,,,,
1080,-342.643280,307.544342,981.571411,-343.842316,206.336075,979.519165,-271.326752,256.218842,979.434937,,,,,,
1081,-342.681488,307.543335,981.548950,-343.879303,206.335022,979.495544,-271.359741,256.222290,979.451477,,,,,,
1082,-342.719757,307.542786,981.526367,-343.916443,206.334335,979.471680,-271.393311,256.226013,979.468201,,,,,,
1083,-342.758057,307.542694,981.503662,-343.953796,206.334000,979.447449,-271.427551,256.229980,979.485107,,,,,,
1084,-342.796356,307.542969,981.480835,-343.991302,206.334030,979.422852,-271.462402,256.234192,979.502014,,,,,,
1085,-342.834656,307.543549,981.457947,-344.028961,206.334351,979.398071,-271.497833,256.238617,979.519104,,,,,,
1086,-342.872803,307.544403,981.435059,-344.066650,206.334900,979.373169,-271.533783,256.243195,979.536133,,,,,,
1087,-342.910767,307.545410,981.412109,-344.104401,206.335510,979.348267,-271.570160,256.247772,979.553284,,,,,,
1088,-342.948456,307.546539,981.389282,-344.142090,206.336044,979.323547,-271.606781,256.252289,979.570374,,,,,,
1089,-342.985718,307.547729,981.366577,-344.179688,206.336380,979.299194,-271.643524,256.256531,979.587524,,,,,,
1090,-343.022400,307.548950,981.344055,-344.217041,206.336411,979.275330,-271.680206,256.260376,979.604675,,,,,,
1091,-343.058411,307.550201,981.321838,-344.254059,206.336029,979.252197,-271.716644,256.263733,979.621765,,,,,,
1092,-343.093628,307.551483,981.300049,-344.290619,206.335190,979.229797,-271.752716,256.266541,979.638916,,,,,,
1093,-343.127991,307.552887,981.278625,-344.326660,206.333862,979.208252,-271.788269,256.268860,979.656006,,,,,,
1094,-343.161438,307.554535,981.257751,-344.362030,206.332123,979.187561,-271.823273,256.270844,979.672974,,,,,,
1095,-343.193909,307.556488,981.237366,-344.396729,206.330063,979.167725,-271.857635,256.272583,979.689758,,,,,,
1096,-343.225281,307.558868,981.217529,-344.430664,206.327805,979.148682,-271.891388,256.274261,979.706299,,,,,,
1097,-343.255493,307.561829,981.198303,-344.463806,206.325455,979.130432,-271.924469,256.275909,979.722534,,,,,,
1098,-343.284546,307.565430,981.179688,-344.496094,206.323090,979.113037,-271.956879,256.277588,979.738464,,,,,,
1099,-343.312408,307.569733,981.161743,-344.527496,206.320724,979.096497,-271.988617,256.279358,979.753967,,,,,,
1100,-343.339050,307.574738,981.144470,-344.557953,206.318420,979.080688,-272.019562,256.281189,979.768921,,,,,,
1101,-343.364502,307.580414,981.127869,-344.587341,206.316223,979.065613,-272.049683,256.283051,979.783386,,,,,,
1102,-343.388733,307.586700,981.112122,-344.615601,206.314117,979.051331,-272.078796,256.284851,979.797302,,,,,,
1103,-343.411713,307.593414,981.097229,-344.642639,206.312134,979.037781,-272.106750,256.286530,979.810669,,,,,,
1104,-343.433441,307.600433,981.083252,-344.668335,206.310272,979.024902,-272.133453,256.287994,979.823486,,,,,,
1105,-343.453918,307.607513,981.070313,-344.692627,206.308502,979.012817,-272.158691,256.289246,979.835815,,,,,,
1106,-343.473206,307.614532,981.058411,-344.715485,206.306793,979.001526,-272.182495,256.290222,979.847717,,,,,,
1107,-343.491302,307.621338,981.047546,-344.736908,206.305054,978.991028,-272.204803,256.290894,979.859192,,,,,,
1108,-343.508301,307.627777,981.037659,-344.756927,206.303207,978.981323,-272.225677,256.291260,979.870300,,,,,,
1109,-343.524353,307.633789,981.028687,-344.775665,206.301178,978.972473,-272.245209,256.291321,979.881165,,,,,,
1110,-343.539551,307.639343,981.020508,-344.793213,206.298965,978.964417,-272.263489,256.291016,979.891785,,,,,,
1111,-343.554047,307.644409,981.013000,-344.809753,206.296616,978.957092,-272.280701,256.290405,979.902222,,,,,,
1112,-343.568085,307.649017,981.006042,-344.825409,206.294159,978.950378,-272.296967,256.289520,979.912476,,,,,,
1113,-343.581787,307.653168,980.999451,-344.840363,206.291656,978.944336,-272.312500,256.288361,979.922546,,,,,,
1114,-343.595367,307.656921,980.993164,-344.854797,206.289169,978.938782,-272.327454,256.287018,979.932495,,,,,,
1115,-343.608917,307.660309,980.987000,-344.868835,206.286743,978.933594,-272.341980,256.285614,979.942200,,,,,,
1116,-343.622589,307.663422,980.980835,-344.882660,206.284424,978.928650,-272.356262,256.284180,979.951782,,,,,,
1117,-343.636414,307.666351,980.974487,-344.896393,206.282257,978.923828,-272.370392,256.282806,979.961182,,,,,,
1118,-343.650482,307.669189,980.967896,-344.910065,206.280304,978.918945,-272.384521,256.281494,979.970337,,,,,,
1119,-343.664795,307.671997,980.960999,-344.923798,206.278625,978.913879,-272.398712,256.280273,979.979248,,,,,,
1120,-343.679321,307.674805,980.953796,-344.937500,206.277298,978.908447,-272.413025,256.279236,979.987915,,,,,,
1121,-343.694031,307.677582,980.946228,-344.951202,206.276306,978.902771,-272.427521,256.278412,979.996399,,,,,,
1122,-343.708893,307.680389,980.938477,-344.964874,206.275620,978.896729,-272.442169,256.277863,980.004639,,,,,,
1123,-343.723846,307.683197,980.930542,-344.978455,206.275177,978.890381,-272.457001,256.277557,980.012634,,,,,,
1124,-343.738800,307.685944,980.922546,-344.991852,206.274933,978.883728,-272.471954,256.277557,980.020508,,,,,,
1125,-343.753693,307.688629,980.914490,-345.005066,206.274857,978.876831,-272.487000,256.277771,980.028198,,,,,,
1126,-343.768463,307.691193,980.906555,-345.018005,206.274948,978.869690,-272.502075,256.278137,980.035828,,,,,,
1127,-343.783020,307.693573,980.898621,-345.030762,206.275208,978.862305,-272.517090,256.278595,980.043335,,,,,,
1128,-343.797394,307.695831,980.890747,-345.043304,206.275620,978.854675,-272.532013,256.279053,980.050842,,,,,,
1129,-343.811432,307.697998,980.882935,-345.055664,206.276169,978.846924,-272.546692,256.279572,980.058228,,,,,,
1130,-343.825165,307.700104,980.875183,-345.067810,206.276901,978.838928,-272.561127,256.280090,980.065552,,,,,,
1131,-343.838562,307.702240,980.867371,-345.079803,206.277802,978.830872,-272.575195,256.280609,980.072754,,,,,,
1132,-343.851593,307.704376,980.859558,-345.091583,206.278809,978.822815,-272.588898,256.281128,980.079773,,,,,,
1133,-343.864349,307.706573,980.851746,-345.103210,206.279861,978.814941,-272.602203,256.281677,980.086609,,,,,,
1134,-343.876831,307.708710,980.844055,-345.114685,206.280945,978.807373,-272.615051,256.282257,980.093140,,,,,,
1135,-343.889099,307.710754,980.836426,-345.125977,206.282043,978.800110,-272.627441,256.282898,980.099365,,,,,,
1136,-343.901154,307.712616,980.828918,-345.137054,206.283218,978.793152,-272.639343,256.283508,980.105347,,,,,,
